행정구역(읍면동),종사자수,사업체수,급여총액,매출액,영업이익,종사자당 사업체수,종사자당 급여총액,종사자당 매출액,종사자당 영업이익
가사문학면,845.0,218.0,31559.0,118867.0,10560.0,0.2579881656804734,37.34792899408284,140.67100591715976,12.497041420118343
간전면,701.0,272.0,16076.0,134719.0,8592.0,0.3880171184022825,22.932952924393724,192.1811697574893,12.256776034236804
강진읍,14972.0,4870.0,444344.0,3240270.0,662714.0,0.32527384450975155,29.678332888057707,216.42198771039273,44.26355864279989
겸면,2307.0,412.0,77747.0,473946.0,1244.0,0.17858690940615518,33.70047680970958,205.43823146944084,0.5392284351972259
겸백면,363.0,132.0,7926.0,37248.0,5835.0,0.36363636363636365,21.834710743801654,102.61157024793388,16.074380165289256
계곡면,954.0,416.0,12272.0,110971.0,19712.0,0.4360587002096436,12.863731656184486,116.32180293501048,20.662473794549268
고군면,1881.0,732.0,56653.0,303344.0,34233.0,0.38915470494417864,30.118553960659224,161.26741095162149,18.199362041467303
고금면,1892.0,766.0,46518.0,308386.0,28827.0,0.4048625792811839,24.586680761099366,162.99471458773783,15.236257928118393
고달면,301.0,146.0,4580.0,19210.0,3224.0,0.4850498338870432,15.215946843853821,63.820598006644516,10.710963455149502
고서면,2005.0,624.0,37880.0,245880.0,5458.0,0.3112219451371571,18.892768079800497,122.63341645885286,2.722194513715711
고흥읍,16606.0,4312.0,494812.0,2788862.0,202908.0,0.2596651812597856,29.7971817415392,167.94303263880525,12.218957003492713
곡성읍,9796.0,2452.0,276252.0,1426736.0,75066.0,0.25030624744793795,28.2004899959167,145.644752960392,7.662923642302981
골약동,10992.0,2322.0,378567.0,3022660.0,99136.0,0.21124454148471616,34.440229257641924,274.9872634643377,9.018922852983989
공산면,1123.0,538.0,24031.0,202435.0,31719.0,0.4790739091718611,21.39893143365984,180.2626892252894,28.24487978628673
과역면,2412.0,980.0,45058.0,291410.0,32697.0,0.40630182421227196,18.680762852404644,120.8167495854063,13.555970149253731
관산읍,2360.0,1020.0,39522.0,231199.0,49161.0,0.4322033898305085,16.746610169491525,97.9656779661017,20.830932203389832
광림동,4625.0,1136.0,142677.0,717578.0,22360.0,0.24562162162162163,30.84908108108108,155.152,4.834594594594595
광양읍,45502.0,12840.0,1087323.0,9165014.0,-197020.0,0.28218539844402446,23.896158410619314,201.4200254933849,-4.32991956397521
광영동,9950.0,2698.0,291857.0,1249499.0,72493.0,0.27115577889447234,29.332361809045228,125.57778894472362,7.28572864321608
광의면,779.0,262.0,20126.0,103354.0,6594.0,0.3363286264441592,25.83568677792041,132.6752246469833,8.464698331193839
구례읍,11184.0,3680.0,310940.0,1510638.0,106966.0,0.3290414878397711,27.80221745350501,135.07135193133047,9.564198855507868
국동,5491.0,1864.0,116988.0,768146.0,56176.0,0.33946457840101985,21.30540885084684,139.8918229830632,10.230559096703697
군남면,844.0,296.0,20058.0,110177.0,4533.0,0.35071090047393366,23.765402843601894,130.54146919431278,5.37085308056872
군내면,1851.0,826.0,46039.0,303021.0,18432.0,0.44624527282549975,24.872501350621285,163.7066450567261,9.957860615883307
군동면,2997.0,798.0,79512.0,354052.0,28268.0,0.26626626626626626,26.53053053053053,118.13546880213546,9.432098765432098
군서면,3516.0,1074.0,96659.0,613617.0,39552.0,0.3054607508532423,27.49118316268487,174.52133105802048,11.249146757679181
군외면,1522.0,560.0,25114.0,272879.0,13248.0,0.3679369250985545,16.50065703022339,179.2897503285151,8.704336399474375
금남동,6625.0,2056.0,144550.0,959919.0,106242.0,0.31033962264150944,21.818867924528302,144.89343396226414,16.036528301886793
