법정동코드,시도명,시군구명,읍면동명,리명,계,70세이상 계,70세이상 인구비율
4611010100,전라남도,목포시,용당동,용당동,12477,3024,24.236595335417167
4611010200,전라남도,목포시,산정동,산정동,41280,7389,17.89970930232558
4611010300,전라남도,목포시,연산동,연산동,13039,1129,8.658639466216735
4611010400,전라남도,목포시,대성동,대성동,3899,525,13.464991023339318
4611010500,전라남도,목포시,양동,양동,1318,365,27.693474962063735
4611010600,전라남도,목포시,북교동,북교동,875,253,28.914285714285715
4611010700,전라남도,목포시,남교동,남교동,1327,280,21.10022607385079
4611010800,전라남도,목포시,호남동,호남동,957,274,28.631138975966564
4611010900,전라남도,목포시,대안동,대안동,152,53,34.868421052631575
4611011000,전라남도,목포시,창평동,창평동,178,48,26.96629213483146
4611011100,전라남도,목포시,명륜동,명륜동,53,14,26.41509433962264
4611011200,전라남도,목포시,죽동,죽동,619,200,32.31017770597738
4611011300,전라남도,목포시,무안동,무안동,220,61,27.727272727272727
4611011400,전라남도,목포시,측후동,측후동,183,58,31.693989071038253
4611011500,전라남도,목포시,상락동1가,상락동1가,84,19,22.61904761904762
4611011600,전라남도,목포시,상락동2가,상락동2가,144,24,16.666666666666664
4611011700,전라남도,목포시,복만동,복만동,65,24,36.92307692307693
4611011800,전라남도,목포시,동명동,동명동,754,211,27.984084880636605
4611011900,전라남도,목포시,광동1가,광동1가,26,9,34.61538461538461
4611012000,전라남도,목포시,광동2가,광동2가,104,42,40.38461538461539
4611012100,전라남도,목포시,광동3가,광동3가,38,8,21.052631578947366
4611012200,전라남도,목포시,영해동1가,영해동1가,86,40,46.51162790697674
4611012300,전라남도,목포시,영해동2가,영해동2가,63,19,30.158730158730158
4611012400,전라남도,목포시,행복동1가,행복동1가,114,48,42.10526315789473
4611012500,전라남도,목포시,행복동2가,행복동2가,79,35,44.303797468354425
4611012600,전라남도,목포시,축복동1가,축복동1가,102,20,19.607843137254903
4611012700,전라남도,목포시,축복동2가,축복동2가,58,6,10.344827586206897
4611012800,전라남도,목포시,축복동3가,축복동3가,46,9,19.565217391304348
4611012900,전라남도,목포시,보광동1가,보광동1가,43,15,34.883720930232556
4611013000,전라남도,목포시,보광동2가,보광동2가,78,12,15.384615384615385
4611013100,전라남도,목포시,보광동3가,보광동3가,92,15,16.304347826086957
4611013200,전라남도,목포시,유달동,유달동,49,20,40.816326530612244
